LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
MLX	chr17	40721624	KRT18	chr12	53345265	MLX--KRT18	sim_adipose.fusion_transcripts	MLX|ENSG00000108788.7--KRT18|ENSG00000111057.6 MLX|ENST00000591024.1--KRT18|ENST00000388835.3 chr17:40719092-40719346,40719637-40719673,40720855-40720961,40721222-40721321,40721525-40721624[+] chr12:53345265-53345429,53345515-53345640,53345903-53346126,53346506-53346685[+] FusedAt:599	chr17:42569606	chr12:52951481	ONT_75	MLX|ENSG00000108788.7--KRT18|ENSG00000111057.6	107
CXCL17	chr19	42946906	VRK2	chr2	58373451	CXCL17--VRK2	sim_brain.fusion_transcripts	CXCL17|ENSG00000189377.4--VRK2|ENSG00000028116.12 CXCL17|ENST00000601181.1--VRK2|ENST00000440705.2 chr19:42947200-42946906[-] chr2:58373451-58373609,58386484-58386919[+] FusedAt:295	chr19:42442754	chr2:58146316	ONT_75	CXCL17|ENSG00000189377.4--VRK2|ENSG00000028116.12	107
GALNT4	chr12	89918897	LMOD3	chr3	69158272	GALNT4--LMOD3	sim_brain.fusion_transcripts	GALNT4|ENSG00000257594.2--LMOD3|ENSG00000163380.11 GALNT4|ENST00000413530.1--LMOD3|ENST00000420581.2 chr12:89920039-89919658,89918981-89918897[-] chr3:69158272-69156023[-] FusedAt:467	chr12:89525120	chr3:69109121	ONT_75	GALNT4|ENSG00000257594.2--LMOD3|ENSG00000163380.11	107
AGAP2	chr12	58130862	RNF150	chr4	141870526	AGAP2--RNF150	sim_adipose.fusion_transcripts	AGAP2|ENSG00000135439.7--RNF150|ENSG00000170153.6 AGAP2|ENST00000328568.5--RNF150|ENST00000306799.3 chr12:58131619-58130862[-] chr4:141870526-141870455,141868890-141868808,141847227-141847131,141832508-141832298,141789533-141786725[-] FusedAt:758	chr12:57737079	chr4:140949372	ONT_75	AGAP2|ENSG00000135439.7--RNF150|ENSG00000170153.6	106
GABARAPL1	chr12	10365818	AC106873.4	chr7	116606176	GABARAPL1--AC106873.4	sim_heart.fusion_transcripts	GABARAPL1|ENSG00000139112.6--AC106873.4|ENSG00000228368.1 GABARAPL1|ENST00000541453.1--AC106873.4|ENST00000420664.1 chr12:10365476-10365818[+] chr7:116606176-116605900[-] FusedAt:343	chr12:10213219	chr7:116966122	ONT_75	GABARAPL1|ENSG00000139112.6--AC106873.4|ENSG00000228368.1	106
SYDE2	chr1	85630209	CSNK1G1	chr15	64506323	SYDE2--CSNK1G1	sim_heart.fusion_transcripts	SYDE2|ENSG00000097096.8--CSNK1G1|ENSG00000169118.11 SYDE2|ENST00000341460.5--CSNK1G1|ENST00000606225.1 chr1:85666729-85665935,85656435-85655740,85648883-85647781,85643955-85643829,85634908-85634727,85630440-85630209[-] chr15:64506323-64506089,64499793-64499708,64497148-64497064,64496788-64496640,64495388-64495281,64481679-64481540,64480684-64480574,64472653-64472547,64464184-64463828[-] FusedAt:3135	chr1:85164526	chr15:64214124	ONT_75	SYDE2|ENSG00000097096.8--CSNK1G1|ENSG00000169118.11	106
WRNIP1	chr6	2770595	CLYBL	chr13	100515245	WRNIP1--CLYBL	sim_heart.fusion_transcripts	WRNIP1|ENSG00000124535.11--CLYBL|ENSG00000125246.11 WRNIP1|ENST00000380771.4--CLYBL|ENST00000416504.1 chr6:2765648-2766678,2768925-2769116,2770429-2770595[+] chr13:100515245-100515346,100517072-100517492[+] FusedAt:1390	chr6:2770361	chr13:99862991	ONT_75	WRNIP1|ENSG00000124535.11--CLYBL|ENSG00000125246.11	106
MMP9	chr20	44642173	TSPAN9	chr12	3387587	MMP9--TSPAN9	sim_testis.fusion_transcripts	MMP9|ENSG00000100985.7--TSPAN9|ENSG00000011105.7 MMP9|ENST00000372330.3--TSPAN9|ENST00000407263.1 chr20:44637547-44637703,44638505-44638737,44639122-44639270,44639561-44639689,44639782-44639955,44640213-44640386,44640776-44640952,44641066-44641221,44641894-44642173[+] chr12:3387587-3387778,3388158-3388232,3389548-3389649,3390364-3390495,3390900-3391274[+] FusedAt:1629	chr20:46013534	chr12:3278421	ONT_75	MMP9|ENSG00000100985.7--TSPAN9|ENSG00000011105.7	106
ZNF792	chr19	35451139	NFIX	chr19	13135835	ZNF792--NFIX	sim_colon.fusion_transcripts	ZNF792|ENSG00000180884.9--NFIX|ENSG00000008441.12 ZNF792|ENST00000404801.1--NFIX|ENST00000591028.1 chr19:35454953-35454534,35451898-35451772,35451261-35451139[-] chr19:13135835-13136309[+] FusedAt:670	chr19:34960235	chr19:13025021	ONT_75	ZNF792|ENSG00000180884.9--NFIX|ENSG00000008441.12	106
RHNO1	chr12	2994700	C1QTNF4	chr11	47612367	RHNO1--C1QTNF4	sim_brain.fusion_transcripts	RHNO1|ENSG00000171792.6--C1QTNF4|ENSG00000172247.3 RHNO1|ENST00000366285.2--C1QTNF4|ENST00000302514.3 chr12:2986389-2986448,2987099-2987279,2994449-2994700[+] chr11:47612367-47611216[-] FusedAt:493	chr12:2885534	chr11:47590815	ONT_75	RHNO1|ENSG00000171792.6--C1QTNF4|ENSG00000172247.3	105
HAUS2	chr15	42853068	ARF5	chr7	127230120	HAUS2--ARF5	sim_testis.fusion_transcripts	HAUS2|ENSG00000137814.5--ARF5|ENSG00000004059.6 HAUS2|ENST00000567640.1--ARF5|ENST00000000233.5 chr15:42841026-42841163,42850396-42850488,42852980-42853068[+] chr7:127230120-127230191,127231017-127231142,127231267-127231759[+] FusedAt:320	chr15:42560870	chr7:127590066	ONT_75	HAUS2|ENSG00000137814.5--ARF5|ENSG00000004059.6	105
CHRNA10	chr11	3692482	OGT	chrX	70756058	CHRNA10--OGT	sim_adipose.fusion_transcripts	CHRNA10|ENSG00000129749.3--OGT|ENSG00000147162.9 CHRNA10|ENST00000526599.1--OGT|ENST00000373701.3 chr11:3692597-3692482[-] chrX:70756058-70756208,70757679-70757922,70764417-70764485,70767757-70767873,70774363-70774442,70775040-70775235,70775804-70775944,70776530-70776630,70776802-70776955,70777045-70777146,70777343-70777522,70779117-70779275,70779438-70779527,70781625-70781750,70782697-70782867,70782980-70783096,70783179-70783349,70784451-70784603,70787350-70787602,70787843-70787966,70793470-70793666[+] FusedAt:116	chr11:3671252	chrX:71536208	ONT_75	CHRNA10|ENSG00000129749.3--OGT|ENSG00000147162.9	105
RAB7A	chr3	128514263	LCN1	chr9	138416978	RAB7A--LCN1	sim_adipose.fusion_transcripts	RAB7A|ENSG00000075785.8--LCN1|ENSG00000160349.5 RAB7A|ENST00000464496.1--LCN1|ENST00000263598.2 chr3:128514086-128514263[+] chr9:138416978-138417004,138418195-138418378[+] FusedAt:178	chr3:128795420	chr9:135525132	ONT_75	RAB7A|ENSG00000075785.8--LCN1|ENSG00000160349.5	105
SGOL2	chr2	201400865	SERPINA4	chr14	95035732	SGOL2--SERPINA4	sim_adipose.fusion_transcripts	SGOL2|ENSG00000163535.13--SERPINA4|ENSG00000100665.7 SGOL2|ENST00000357799.4--SERPINA4|ENST00000298841.5 chr2:201390880-201390975,201397697-201397831,201399719-201399894,201400788-201400865[+] chr14:95035732-95036207[+] FusedAt:485	chr2:200536142	chr14:94569395	ONT_75	SGOL2|ENSG00000163535.13--SERPINA4|ENSG00000100665.7	105
GLIPR2	chr9	36147891	C10orf95	chr10	104210904	GLIPR2--C10orf95	sim_testis.fusion_transcripts	GLIPR2|ENSG00000122694.11--C10orf95|ENSG00000120055.5 GLIPR2|ENST00000377959.1--C10orf95|ENST00000239125.1 chr9:36136739-36136788,36147783-36147891[+] chr10:104210904-104209594[-] FusedAt:159	chr9:36147894	chr10:102451147	ONT_75	GLIPR2|ENSG00000122694.11--C10orf95|ENSG00000120055.5	105
YME1L1	chr10	27437835	ZFR	chr5	32420208	YME1L1--ZFR	sim_heart.fusion_transcripts	YME1L1|ENSG00000136758.14--ZFR|ENSG00000056097.11 YME1L1|ENST00000477432.1--ZFR|ENST00000265069.8 chr10:27444195-27443107,27437969-27437835[-] chr5:32420208-32419926,32417897-32417753,32415292-32415074,32407126-32406879,32404202-32404011,32403502-32403211,32400308-32400112,32397444-32397325,32395410-32395265,32390543-32390381,32388780-32388575,32387805-32387655,32385755-32385614,32380278-32380181,32379316-32379221,32364381-32364270,32364151-32364054,32356045-32354456[-] FusedAt:1224	chr10:27148906	chr5:32420103	ONT_75	YME1L1|ENSG00000136758.14--ZFR|ENSG00000056097.11	104
REPS1	chr6	139265635	ZIC3	chrX	136651061	REPS1--ZIC3	sim_testis.fusion_transcripts	REPS1|ENSG00000135597.14--ZIC3|ENSG00000156925.7 REPS1|ENST00000409812.2--ZIC3|ENST00000370606.3 chr6:139309018-139308667,139269050-139268927,139266834-139266638,139266509-139266356,139265759-139265635[-] chrX:136651061-136651224,136659281-136659850[+] FusedAt:952	chr6:138944498	chrX:137568902	ONT_75	REPS1|ENSG00000135597.14--ZIC3|ENSG00000156925.7	103
RAX2	chr19	3771525	PDE1C	chr7	31890355	RAX2--PDE1C	sim_adipose.fusion_transcripts	RAX2|ENSG00000173976.11--PDE1C|ENSG00000154678.12 RAX2|ENST00000555633.1--PDE1C|ENST00000396191.1 chr19:3772233-3772161,3772008-3771525[-] chr7:31890355-31890255,31887710-31887582,31877585-31877484,31876914-31876794,31867987-31867906,31864601-31864481,31862862-31862687,31855768-31855538,31848722-31848645,31815346-31815278,31793167-31792632[-] FusedAt:557	chr19:3771527	chr7:31850741	ONT_75	RAX2|ENSG00000173976.11--PDE1C|ENSG00000154678.12	103
APOOL	chrX	84258933	IGSF3	chr1	117149173	APOOL--IGSF3	sim_adipose.fusion_transcripts	APOOL|ENSG00000155008.9--IGSF3|ENSG00000143061.13 APOOL|ENST00000373173.2--IGSF3|ENST00000318837.6 chrX:84258832-84258933[+] chr1:117149173-117149114,117146647-117146246,117142967-117142563,117131726-117131316,117127674-117127267,117122499-117122014,117120184-117119842[-] FusedAt:102	chrX:85003927	chr1:116606551	ONT_75	APOOL|ENSG00000155008.9--IGSF3|ENSG00000143061.13	103
SON	chr21	34939573	ROS1	chr6	117714484	SON--ROS1	sim_heart.fusion_transcripts	SON|ENSG00000159140.13--ROS1|ENSG00000047936.6 SON|ENST00000429093.2--ROS1|ENST00000368508.3 chr21:34939466-34939573[+] chr6:117714484-117714387,117711009-117710513,117709197-117708943,117708162-117708052,117707024-117706846,117704671-117704480,117700322-117700222,117687453-117687239,117686904-117686744,117686367-117686223,117684028-117683766,117681568-117681505,117681174-117680972,117679172-117678967,117678078-117677792,117674332-117674153,117665425-117665223,117663707-117663563,117662795-117662563,117662474-117662298,117658503-117658335,117650609-117650492,117647577-117647387,117645578-117645495,117642557-117642422,117641193-117641031,117639415-117639351,117638435-117638306,117632280-117632183,117631444-117631244,117630091-117629957,117622300-117622137,117609965-117609463[-] FusedAt:108	chr21:33567267	chr6:117393321	ONT_75	SON|ENSG00000159140.13--ROS1|ENSG00000047936.6	103
THEMIS	chr6	128150621	UCHL5	chr1	192992166	THEMIS--UCHL5	sim_brain.fusion_transcripts	THEMIS|ENSG00000172673.6--UCHL5|ENSG00000116750.9 THEMIS|ENST00000543064.1--UCHL5|ENST00000367449.1 chr6:128222226-128221987,128176333-128176175,128151079-128150621[-] chr1:192992166-192992056,192990325-192990227,192987950-192987535[-] FusedAt:858	chr6:127829476	chr1:193023036	ONT_75	THEMIS|ENSG00000172673.6--UCHL5|ENSG00000116750.9	103
FBXO22	chr15	76196444	ZNF84	chr12	133617871	FBXO22--ZNF84	sim_adipose.fusion_transcripts	FBXO22|ENSG00000167196.9--ZNF84|ENSG00000198040.6 FBXO22|ENST00000569022.1--ZNF84|ENST00000542874.1 chr15:76196219-76196444[+] chr12:133617871-133618068,133624541-133624667,133625339-133625398[+] FusedAt:226	chr15:75904103	chr12:133041285	ONT_75	FBXO22|ENSG00000167196.9--ZNF84|ENSG00000198040.6	102
TM4SF18	chr3	149042667	PLEKHA8	chr7	30094873	TM4SF18--PLEKHA8	sim_colon.fusion_transcripts	TM4SF18|ENSG00000163762.2--PLEKHA8|ENSG00000106086.14 TM4SF18|ENST00000470080.1--PLEKHA8|ENST00000258679.7 chr3:149051269-149050993,149048206-149048117,149042809-149042667[-] chr7:30094873-30094958,30100500-30100558,30101513-30101643,30102288-30102358,30129769-30130360[+] FusedAt:510	chr3:149324880	chr7:30055257	ONT_75	TM4SF18|ENSG00000163762.2--PLEKHA8|ENSG00000106086.14	102
CRTAM	chr11	122738807	C17orf104	chr17	42743744	CRTAM--C17orf104	sim_heart.fusion_transcripts	CRTAM|ENSG00000109943.4--C17orf104|ENSG00000180336.13 CRTAM|ENST00000533709.1--C17orf104|ENST00000432494.1 chr11:122733011-122733252,122735344-122735427,122738117-122738263,122738721-122738807[+] chr17:42743744-42744267[+] FusedAt:560	chr11:122868099	chr17:44666376	ONT_75	CRTAM|ENSG00000109943.4--C17orf104|ENSG00000180336.13	102
DCDC2	chr6	24353797	C6orf58	chr6	127899831	DCDC2--C6orf58	sim_brain.fusion_transcripts	DCDC2|ENSG00000146038.7--C6orf58|ENSG00000184530.8 DCDC2|ENST00000436313.1--C6orf58|ENST00000329722.7 chr6:24357881-24357686,24353851-24353797[-] chr6:127899831-127899917,127901410-127901594,127902327-127902427,127911232-127911470,127912688-127912962[+] FusedAt:251	chr6:24353569	chr6:127578686	ONT_75	DCDC2|ENSG00000146038.7--C6orf58|ENSG00000184530.8	101
XPNPEP2	chrX	128879242	TRBC2	chr7	142500187	XPNPEP2--TRBC2	sim_colon.fusion_transcripts	XPNPEP2|ENSG00000122121.6--TRBC2|ENSG00000211772.4 XPNPEP2|ENST00000371105.3--TRBC2|ENST00000466254.1 chrX:128872950-128873238,128876084-128876157,128877937-128878047,128879179-128879242[+] chr7:142500187-142500432[+] FusedAt:538	chrX:129745266	chr7:142802503	ONT_75	XPNPEP2|ENSG00000122121.6--TRBC2|ENSG00000211772.4	101
CBLN3	chr14	24897961	CYP2W1	chr7	1024802	CBLN3--CYP2W1	sim_testis.fusion_transcripts	CBLN3|ENSG00000139899.6--CYP2W1|ENSG00000073067.9 CBLN3|ENST00000267406.6--CYP2W1|ENST00000340150.6 chr14:24898731-24897961[-] chr7:1024802-1024959,1026260-1026433,1026743-1026881,1026983-1027167,1027913-1029276[+] FusedAt:771	chr14:24428755	chr7:985166	ONT_75	CBLN3|ENSG00000139899.6--CYP2W1|ENSG00000073067.9	101
COX6B1	chr19	36142251	PLA2G16	chr11	63357840	COX6B1--PLA2G16	sim_colon.fusion_transcripts	COX6B1|ENSG00000126267.4--PLA2G16|ENSG00000176485.6 COX6B1|ENST00000246554.3--PLA2G16|ENST00000540943.1 chr19:36139125-36139305,36142135-36142251[+] chr11:63357840-63357726[-] FusedAt:298	chr19:35651349	chr11:63590368	ONT_75	COX6B1|ENSG00000126267.4--PLA2G16|ENSG00000176485.6	100
ACER2	chr9	19423974	AKAP11	chr13	42888030	ACER2--AKAP11	sim_testis.fusion_transcripts	ACER2|ENSG00000177076.4--AKAP11|ENSG00000023516.7 ACER2|ENST00000380376.1--AKAP11|ENST00000025301.2 chr9:19408925-19409190,19423860-19423974[+] chr13:42888030-42888076,42891664-42891824,42893224-42897396[+] FusedAt:381	chr9:19423976	chr13:42313894	ONT_75	ACER2|ENSG00000177076.4--AKAP11|ENSG00000023516.7	100
ITGB3	chr17	45367640	GDNF	chr5	37816237	ITGB3--GDNF	sim_colon.fusion_transcripts	ITGB3|ENSG00000259207.3--GDNF|ENSG00000168621.10 ITGB3|ENST00000435993.2--GDNF|ENST00000344622.4 chr17:45331263-45331306,45351785-45351870,45360720-45360915,45361809-45362061,45363626-45363788,45364436-45364597,45367047-45367142,45367551-45367640[+] chr5:37816237-37812779[-] FusedAt:1090	chr17:47290274	chr5:37816135	ONT_75	ITGB3|ENSG00000259207.3--GDNF|ENSG00000168621.10	100
FAM171B	chr2	187625963	ECI2	chr6	4126471	FAM171B--ECI2	sim_heart.fusion_transcripts	FAM171B|ENSG00000144369.8--ECI2|ENSG00000198721.8 FAM171B|ENST00000304698.5--ECI2|ENST00000380125.2 chr2:187558698-187559138,187604955-187605188,187608210-187608302,187611819-187611977,187615861-187616031,187618660-187618776,187625840-187625963[+] chr6:4126471-4126369,4125604-4125484,4119509-4119420,4117685-4117542,4116263-4115927[-] FusedAt:1339	chr2:186761236	chr6:4126237	ONT_75	FAM171B|ENSG00000144369.8--ECI2|ENSG00000198721.8	100
PPP3CA	chr4	102092241	C9orf47	chr9	91606385	PPP3CA--C9orf47	sim_testis.fusion_transcripts	PPP3CA|ENSG00000138814.12--C9orf47|ENSG00000186354.6 PPP3CA|ENST00000492351.2--C9orf47|ENST00000375850.3 chr4:102117085-102117073,102092383-102092241[-] chr9:91606385-91606979[+] FusedAt:156	chr4:101171084	chr9:88991470	ONT_75	PPP3CA|ENSG00000138814.12--C9orf47|ENSG00000186354.6	100
PRB4	chr12	11462304	C19orf67	chr19	14194689	PRB4--C19orf67	sim_testis.fusion_transcripts	PRB4|ENSG00000230657.2--C19orf67|ENSG00000188032.5 PRB4|ENST00000445719.2--C19orf67|ENST00000343945.5 chr12:11463369-11463269,11462339-11462304[-] chr19:14194689-14194545,14194417-14194317,14194234-14194049,14193415-14193281,14192820-14192703[-] FusedAt:137	chr12:11309370	chr19:14083877	ONT_75	PRB4|ENSG00000230657.2--C19orf67|ENSG00000188032.5	100
SLC25A41	chr19	6433498	PNPLA8	chr7	108119823	SLC25A41--PNPLA8	sim_adipose.fusion_transcripts	SLC25A41|ENSG00000181240.9--PNPLA8|ENSG00000135241.12 SLC25A41|ENST00000597558.1--PNPLA8|ENST00000422087.1 chr19:6433790-6433498[-] chr7:108119823-108119628,108113119-108112071[-] FusedAt:293	chr19:6433487	chr7:108479379	ONT_75	SLC25A41|ENSG00000181240.9--PNPLA8|ENSG00000135241.12	100
PDAP1	chr7	98997926	TBKBP1	chr17	45775961	PDAP1--TBKBP1	sim_heart.fusion_transcripts	PDAP1|ENSG00000106244.8--TBKBP1|ENSG00000198933.5 PDAP1|ENST00000350498.3--TBKBP1|ENST00000578982.1 chr7:99006452-99006159,99002576-99002485,99001128-99001021,98998047-98997926[-] chr17:45775961-45776092[+] FusedAt:616	chr7:99400303	chr17:47698595	ONT_75	PDAP1|ENSG00000106244.8--TBKBP1|ENSG00000198933.5	99
GSTT2B	chr22	24303207	PMEPA1	chr20	56228142	GSTT2B--PMEPA1	sim_testis.fusion_transcripts	GSTT2B|ENSG00000133433.6--PMEPA1|ENSG00000124225.11 GSTT2B|ENST00000404172.3--PMEPA1|ENST00000347215.4 chr22:24303340-24303207[-] chr20:56228142-56228089,56227654-56223448[-] FusedAt:134	chr22:23961020	chr20:57653086	ONT_75	GSTT2B|ENSG00000133433.6--PMEPA1|ENSG00000124225.11	99
CALCOCO2	chr17	46937811	NCOA3	chr20	46281150	CALCOCO2--NCOA3	sim_heart.fusion_transcripts	CALCOCO2|ENSG00000136436.10--NCOA3|ENSG00000124151.14 CALCOCO2|ENST00000508679.1--NCOA3|ENST00000371997.3 chr17:46908397-46908440,46925426-46925528,46925684-46925817,46926614-46926739,46928451-46928539,46928921-46928990,46929868-46929990,46930288-46930374,46933454-46933549,46937676-46937811[+] chr20:46281150-46281324,46281675-46281816,46282150-46284486[+] FusedAt:1008	chr17:48860449	chr20:47652406	ONT_75	CALCOCO2|ENSG00000136436.10--NCOA3|ENSG00000124151.14	99
TTYH2	chr17	72233653	OR11A1	chr6	29395509	TTYH2--OR11A1	sim_adipose.fusion_transcripts	TTYH2|ENSG00000141540.6--OR11A1|ENSG00000204694.6 TTYH2|ENST00000529107.1--OR11A1|ENST00000377148.1 chr17:72211755-72211851,72218624-72218796,72227027-72227138,72233433-72233653[+] chr6:29395509-29393281[-] FusedAt:603	chr17:74237514	chr6:29427732	ONT_75	TTYH2|ENSG00000141540.6--OR11A1|ENSG00000204694.6	98
PLA2G15	chr16	68279456	CDC45	chr22	19504050	PLA2G15--CDC45	sim_colon.fusion_transcripts	PLA2G15|ENSG00000103066.8--CDC45|ENSG00000093009.5 PLA2G15|ENST00000219345.5--CDC45|ENST00000407835.1 chr16:68279247-68279456[+] chr22:19504050-19504168,19504340-19504416,19506367-19506432,19508004-19508135[+] FusedAt:210	chr16:68245553	chr22:19516527	ONT_75	PLA2G15|ENSG00000103066.8--CDC45|ENSG00000093009.5	98
ADIRF	chr10	88730672	TTC12	chr11	113194716	ADIRF--TTC12	sim_testis.fusion_transcripts	ADIRF|ENSG00000148671.9--TTC12|ENSG00000149292.12 ADIRF|ENST00000561504.1--TTC12|ENST00000442859.1 chr10:88728247-88728362,88729957-88730019,88730233-88730672[+] chr11:113194716-113194737,113195327-113195404,113196246-113196367,113200642-113200701,113205688-113205759,113209496-113209525[+] FusedAt:619	chr10:86970915	chr11:113323994	ONT_75	ADIRF|ENSG00000148671.9--TTC12|ENSG00000149292.12	98
FAT2	chr5	150906795	CDCA4	chr14	105478272	FAT2--CDCA4	sim_adipose.fusion_transcripts	FAT2|ENSG00000086570.8--CDCA4|ENSG00000170779.10 FAT2|ENST00000520200.1--CDCA4|ENST00000336219.3 chr5:150911533-150911148,150908953-150908739,150907694-150907557,150906938-150906795[-] chr14:105478272-105475910[-] FusedAt:883	chr5:151527234	chr14:105011935	ONT_75	FAT2|ENSG00000086570.8--CDCA4|ENSG00000170779.10	97
CREB3L2	chr7	137607336	PNMA3	chrX	152225307	CREB3L2--PNMA3	sim_heart.fusion_transcripts	CREB3L2|ENSG00000182158.10--PNMA3|ENSG00000183837.8 CREB3L2|ENST00000420629.1--PNMA3|ENST00000447306.1 chr7:137613015-137612896,137607513-137607336[-] chrX:152225307-152228827[+] FusedAt:298	chr7:137922590	chrX:153056950	ONT_75	CREB3L2|ENSG00000182158.10--PNMA3|ENSG00000183837.8	97
C11orf53	chr11	111155102	SP8	chr7	20825414	C11orf53--SP8	sim_colon.fusion_transcripts	C11orf53|ENSG00000150750.6--SP8|ENSG00000164651.12 C11orf53|ENST00000280325.4--SP8|ENST00000418710.2 chr11:111126707-111126817,111152123-111152165,111154801-111155102[+] chr7:20825414-20823906[-] FusedAt:456	chr11:111284377	chr7:20785795	ONT_75	C11orf53|ENSG00000150750.6--SP8|ENSG00000164651.12	96
NT5C1A	chr1	40126751	MTHFSD	chr16	86582183	NT5C1A--MTHFSD	sim_brain.fusion_transcripts	NT5C1A|ENSG00000116981.3--MTHFSD|ENSG00000103248.13 NT5C1A|ENST00000235628.1--MTHFSD|ENST00000564364.1 chr1:40137710-40137576,40131908-40131741,40131322-40131193,40129106-40128984,40126935-40126751[-] chr16:86582183-86582070,86580255-86580211[-] FusedAt:741	chr1:39661079	chr16:86548577	ONT_75	NT5C1A|ENSG00000116981.3--MTHFSD|ENSG00000103248.13	94
MNDA	chr1	158817679	BSPH1	chr19	48480111	MNDA--BSPH1	sim_brain.fusion_transcripts	MNDA|ENSG00000163563.7--BSPH1|ENSG00000188334.3 MNDA|ENST00000438394.1--BSPH1|ENST00000344839.3 chr1:158815691-158815793,158817518-158817679[+] chr19:48480111-48479967,48471466-48471303[-] FusedAt:265	chr1:158847889	chr19:47976854	ONT_75	MNDA|ENSG00000163563.7--BSPH1|ENSG00000188334.3	94
SF3B14	chr2	24291191	TRDV1	chr14	22564599	SF3B14--TRDV1	sim_testis.fusion_transcripts	SF3B14|ENSG00000115128.6--TRDV1|ENSG00000211804.2 SF3B14|ENST00000233468.4--TRDV1|ENST00000390452.2 chr2:24299313-24299070,24297064-24296946,24291329-24291191[-] chr14:22564599-22564896[+] FusedAt:502	chr2:24068321	chr14:22096322	ONT_75	SF3B14|ENSG00000115128.6--TRDV1|ENSG00000211804.2	93
CACNG1	chr17	65050186	BCL2L2	chr14	23776969	CACNG1--BCL2L2	sim_heart.fusion_transcripts	CACNG1|ENSG00000108878.3--BCL2L2|ENSG00000129473.5 CACNG1|ENST00000226021.3--BCL2L2|ENST00000554635.1 chr17:65040706-65041005,65050112-65050186[+] chr14:23776969-23777191[+] FusedAt:375	chr17:67054070	chr14:23307760	ONT_75	CACNG1|ENSG00000108878.3--BCL2L2|ENSG00000129473.5	90
RSPH3	chr6	159399292	NXF2B	chrX	101620252	RSPH3--NXF2B	sim_heart.fusion_transcripts	RSPH3|ENSG00000130363.7--NXF2B|ENSG00000185945.9 RSPH3|ENST00000367069.2--NXF2B|ENST00000372749.1 chr6:159421219-159420467,159414958-159414871,159407453-159407312,159404839-159404694,159403720-159403517,159401968-159401806,159399378-159399292[-] chrX:101620252-101620145,101620024-101619966,101619827-101619712,101619616-101619574,101618973-101618901,101618366-101618184,101615773-101615713,101615566-101615319[-] FusedAt:1583	chr6:158978260	chrX:102365331	ONT_75	RSPH3|ENSG00000130363.7--NXF2B|ENSG00000185945.9	89
